Group,Category,Indicator,Units,Year,Spending
Maui visitors,All other expenses,Daily spending ($),dollar,2014,6.95
Maui visitors,All other expenses,Daily spending ($),dollar,2015,7.51
Maui visitors,All other expenses,Daily spending ($),dollar,2016,6.85
Maui visitors,All other expenses,Daily spending ($),dollar,2017,7.38
Maui visitors,All other expenses,Daily spending ($),dollar,2018,6.52
Maui visitors,All other expenses,Daily spending ($),dollar,2019,6.77
Maui visitors,All other expenses,Daily spending ($),dollar,2021,3.02
Maui visitors,All other expenses,Daily spending ($),dollar,2022,5.68
Maui visitors,All other expenses,Daily spending ($),dollar,2023,9.22
Visitors from Japan,Total Food and beverage,Daily spending ($),dollar,2009,42.98
Visitors from Japan,Total Food and beverage,Daily spending ($),dollar,2010,42.8
Visitors from Japan,Total Food and beverage,Daily spending ($),dollar,2011,45.51
Visitors from Japan,Total Food and beverage,Daily spending ($),dollar,2012,49.99
Visitors from Japan,Total Food and beverage,Daily spending ($),dollar,2013,49.56
Visitors from Japan,Total Food and beverage,Daily spending ($),dollar,2014,50.67
Visitors from Japan,Total Food and beverage,Daily spending ($),dollar,2015,49.9
Visitors from Japan,Total Food and beverage,Daily spending ($),dollar,2016,50.45
Visitors from Japan,Total Food and beverage,Daily spending ($),dollar,2017,50.52
Visitors from Japan,Total Food and beverage,Daily spending ($),dollar,2018,50.06
Visitors from Japan,Total Food and beverage,Daily spending ($),dollar,2019,51.16
Visitors from Japan,Total Food and beverage,Daily spending ($),dollar,2021,51.5
Visitors from Japan,Total Food and beverage,Daily spending ($),dollar,2022,57.42
Visitors from Japan,Total Food and beverage,Daily spending ($),dollar,2023,59.47
Molokai visitors,Total Food and beverage,Daily spending ($),dollar,2010,17.07
Molokai visitors,Total Food and beverage,Daily spending ($),dollar,2011,17.8
Molokai visitors,Total Food and beverage,Daily spending ($),dollar,2012,21.92
Molokai visitors,Total Food and beverage,Daily spending ($),dollar,2013,21.2
Molokai visitors,Total Food and beverage,Daily spending ($),dollar,2014,22.93
Molokai visitors,Total Food and beverage,Daily spending ($),dollar,2015,21.88
Molokai visitors,Total Food and beverage,Daily spending ($),dollar,2016,21.05
Molokai visitors,Total Food and beverage,Daily spending ($),dollar,2017,25.55
Molokai visitors,Total Food and beverage,Daily spending ($),dollar,2018,26.38
Molokai visitors,Total Food and beverage,Daily spending ($),dollar,2019,22.34
Molokai visitors,Total Food and beverage,Daily spending ($),dollar,2021,27.44
Molokai visitors,Total Food and beverage,Daily spending ($),dollar,2022,21.93
Molokai visitors,Total Food and beverage,Daily spending ($),dollar,2023,21.07
Visitors from Japan,Total Entertainment & Recreation,Daily spending ($),dollar,2009,20.72
Visitors from Japan,Total Entertainment & Recreation,Daily spending ($),dollar,2010,19.46
Visitors from Japan,Total Entertainment & Recreation,Daily spending ($),dollar,2011,19.6
Visitors from Japan,Total Entertainment & Recreation,Daily spending ($),dollar,2012,19.94
Visitors from Japan,Total Entertainment & Recreation,Daily spending ($),dollar,2013,18.96
Visitors from Japan,Total Entertainment & Recreation,Daily spending ($),dollar,2014,19.11
Visitors from Japan,Total Entertainment & Recreation,Daily spending ($),dollar,2015,18.75
Visitors from Japan,Total Entertainment & Recreation,Daily spending ($),dollar,2016,18.98
Visitors from Japan,Total Entertainment & Recreation,Daily spending ($),dollar,2017,18.9
Visitors from Japan,Total Entertainment & Recreation,Daily spending ($),dollar,2018,18.1
Visitors from Japan,Total Entertainment & Recreation,Daily spending ($),dollar,2019,19.02
Visitors from Japan,Total Entertainment & Recreation,Daily spending ($),dollar,2021,11.2
Visitors from Japan,Total Entertainment & Recreation,Daily spending ($),dollar,2022,15.67
Visitors from Japan,Total Entertainment & Recreation,Daily spending ($),dollar,2023,17.38
Molokai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2010,4.57
Molokai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2011,7.26
Molokai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2012,6.63
Molokai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2013,10.58
Molokai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2014,11.56
Molokai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2015,7.5
Molokai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2016,10.57
Molokai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2017,11.97
Molokai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2018,14.02
Molokai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2019,8.65
Molokai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2021,12.21
Molokai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2022,5.64
Molokai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2023,10.16
Visitors from Japan,Total Transportation,Daily spending ($),dollar,2009,10.5
Visitors from Japan,Total Transportation,Daily spending ($),dollar,2010,10.59
Visitors from Japan,Total Transportation,Daily spending ($),dollar,2011,11.27
Visitors from Japan,Total Transportation,Daily spending ($),dollar,2012,11.07
Visitors from Japan,Total Transportation,Daily spending ($),dollar,2013,12.48
Visitors from Japan,Total Transportation,Daily spending ($),dollar,2014,12.2
Visitors from Japan,Total Transportation,Daily spending ($),dollar,2015,12.05
Visitors from Japan,Total Transportation,Daily spending ($),dollar,2016,12.28
Visitors from Japan,Total Transportation,Daily spending ($),dollar,2017,12.86
Visitors from Japan,Total Transportation,Daily spending ($),dollar,2018,12.31
Visitors from Japan,Total Transportation,Daily spending ($),dollar,2019,11.97
Visitors from Japan,Total Transportation,Daily spending ($),dollar,2021,15.6
Visitors from Japan,Total Transportation,Daily spending ($),dollar,2022,16.49
Visitors from Japan,Total Transportation,Daily spending ($),dollar,2023,13.84
Molokai visitors,Total Transportation,Daily spending ($),dollar,2010,15.53
Molokai visitors,Total Transportation,Daily spending ($),dollar,2011,21.95
Molokai visitors,Total Transportation,Daily spending ($),dollar,2012,17.98
Molokai visitors,Total Transportation,Daily spending ($),dollar,2013,21.49
Molokai visitors,Total Transportation,Daily spending ($),dollar,2014,26.19
Molokai visitors,Total Transportation,Daily spending ($),dollar,2015,31.96
Molokai visitors,Total Transportation,Daily spending ($),dollar,2016,24.91
Molokai visitors,Total Transportation,Daily spending ($),dollar,2017,26.4
Molokai visitors,Total Transportation,Daily spending ($),dollar,2018,35.79
Molokai visitors,Total Transportation,Daily spending ($),dollar,2019,31.2
Molokai visitors,Total Transportation,Daily spending ($),dollar,2021,37.97
Molokai visitors,Total Transportation,Daily spending ($),dollar,2022,31.05
Molokai visitors,Total Transportation,Daily spending ($),dollar,2023,34.33
Visitors from Japan,Total Shopping,Daily spending ($),dollar,2009,98.85
Visitors from Japan,Total Shopping,Daily spending ($),dollar,2010,91.66
Visitors from Japan,Total Shopping,Daily spending ($),dollar,2011,102.19
Visitors from Japan,Total Shopping,Daily spending ($),dollar,2012,96.08
Visitors from Japan,Total Shopping,Daily spending ($),dollar,2013,78.97
Visitors from Japan,Total Shopping,Daily spending ($),dollar,2014,77.76
Visitors from Japan,Total Shopping,Daily spending ($),dollar,2015,65.51
Visitors from Japan,Total Shopping,Daily spending ($),dollar,2016,68.02
Visitors from Japan,Total Shopping,Daily spending ($),dollar,2017,64.62
Visitors from Japan,Total Shopping,Daily spending ($),dollar,2018,65.94
Visitors from Japan,Total Shopping,Daily spending ($),dollar,2019,65.08
Visitors from Japan,Total Shopping,Daily spending ($),dollar,2021,54.9
Visitors from Japan,Total Shopping,Daily spending ($),dollar,2022,49.83
Visitors from Japan,Total Shopping,Daily spending ($),dollar,2023,50.24
Molokai visitors,Total Shopping,Daily spending ($),dollar,2010,5.67
Molokai visitors,Total Shopping,Daily spending ($),dollar,2011,5.5
Molokai visitors,Total Shopping,Daily spending ($),dollar,2012,4.06
Molokai visitors,Total Shopping,Daily spending ($),dollar,2013,5.94
Molokai visitors,Total Shopping,Daily spending ($),dollar,2014,6.92
Molokai visitors,Total Shopping,Daily spending ($),dollar,2015,7.19
Molokai visitors,Total Shopping,Daily spending ($),dollar,2016,7.24
Molokai visitors,Total Shopping,Daily spending ($),dollar,2017,8.49
Molokai visitors,Total Shopping,Daily spending ($),dollar,2018,7.28
Molokai visitors,Total Shopping,Daily spending ($),dollar,2019,6.45
Molokai visitors,Total Shopping,Daily spending ($),dollar,2021,5.74
Molokai visitors,Total Shopping,Daily spending ($),dollar,2022,6.73
Molokai visitors,Total Shopping,Daily spending ($),dollar,2023,26.64
Visitors from Japan,Lodging,Daily spending ($),dollar,2009,76.91
Visitors from Japan,Lodging,Daily spending ($),dollar,2010,78.19
Visitors from Japan,Lodging,Daily spending ($),dollar,2011,92.84
Visitors from Japan,Lodging,Daily spending ($),dollar,2012,111.72
Visitors from Japan,Lodging,Daily spending ($),dollar,2013,101.59
Visitors from Japan,Lodging,Daily spending ($),dollar,2014,99.67
Visitors from Japan,Lodging,Daily spending ($),dollar,2015,79.33
Visitors from Japan,Lodging,Daily spending ($),dollar,2016,80.12
Visitors from Japan,Lodging,Daily spending ($),dollar,2017,80.6
Visitors from Japan,Lodging,Daily spending ($),dollar,2018,85.53
Visitors from Japan,Lodging,Daily spending ($),dollar,2019,83.75
Visitors from Japan,Lodging,Daily spending ($),dollar,2021,81.2
Visitors from Japan,Lodging,Daily spending ($),dollar,2022,89.04
Visitors from Japan,Lodging,Daily spending ($),dollar,2023,91.1
Molokai visitors,Lodging,Daily spending ($),dollar,2010,50.32
Molokai visitors,Lodging,Daily spending ($),dollar,2011,53.15
Molokai visitors,Lodging,Daily spending ($),dollar,2012,56.95
Molokai visitors,Lodging,Daily spending ($),dollar,2013,52.36
Molokai visitors,Lodging,Daily spending ($),dollar,2014,52.02
Molokai visitors,Lodging,Daily spending ($),dollar,2015,46.06
Molokai visitors,Lodging,Daily spending ($),dollar,2016,45
Molokai visitors,Lodging,Daily spending ($),dollar,2017,48.99
Molokai visitors,Lodging,Daily spending ($),dollar,2018,55.19
Molokai visitors,Lodging,Daily spending ($),dollar,2019,53.71
Molokai visitors,Lodging,Daily spending ($),dollar,2021,52.6
Molokai visitors,Lodging,Daily spending ($),dollar,2022,82.56
Molokai visitors,Lodging,Daily spending ($),dollar,2023,91.24
Visitors from Japan,All other expenses,Daily spending ($),dollar,2009,18.37
Visitors from Japan,All other expenses,Daily spending ($),dollar,2010,18.38
Visitors from Japan,All other expenses,Daily spending ($),dollar,2011,17.72
Visitors from Japan,All other expenses,Daily spending ($),dollar,2012,21.3
Visitors from Japan,All other expenses,Daily spending ($),dollar,2013,14.19
Visitors from Japan,All other expenses,Daily spending ($),dollar,2014,13.98
Visitors from Japan,All other expenses,Daily spending ($),dollar,2015,10.79
Visitors from Japan,All other expenses,Daily spending ($),dollar,2016,10.45
Visitors from Japan,All other expenses,Daily spending ($),dollar,2017,10.32
Visitors from Japan,All other expenses,Daily spending ($),dollar,2018,9.23
Visitors from Japan,All other expenses,Daily spending ($),dollar,2019,10.59
Visitors from Japan,All other expenses,Daily spending ($),dollar,2021,6.5
Visitors from Japan,All other expenses,Daily spending ($),dollar,2022,6.98
Visitors from Japan,All other expenses,Daily spending ($),dollar,2023,8.7
Molokai visitors,All other expenses,Daily spending ($),dollar,2010,4.46
Molokai visitors,All other expenses,Daily spending ($),dollar,2011,3.39
Molokai visitors,All other expenses,Daily spending ($),dollar,2012,1.99
Molokai visitors,All other expenses,Daily spending ($),dollar,2013,2.24
Molokai visitors,All other expenses,Daily spending ($),dollar,2014,2.69
Molokai visitors,All other expenses,Daily spending ($),dollar,2015,3.38
Molokai visitors,All other expenses,Daily spending ($),dollar,2016,6.48
Molokai visitors,All other expenses,Daily spending ($),dollar,2017,2.66
Molokai visitors,All other expenses,Daily spending ($),dollar,2018,4.59
Molokai visitors,All other expenses,Daily spending ($),dollar,2019,3.62
Molokai visitors,All other expenses,Daily spending ($),dollar,2021,2.1
Molokai visitors,All other expenses,Daily spending ($),dollar,2022,4.9
Molokai visitors,All other expenses,Daily spending ($),dollar,2023,4.84
Visitors from Canada,Total Food and beverage,Daily spending ($),dollar,2009,30.07
Visitors from Canada,Total Food and beverage,Daily spending ($),dollar,2010,30.88
Visitors from Canada,Total Food and beverage,Daily spending ($),dollar,2011,31.4
Visitors from Canada,Total Food and beverage,Daily spending ($),dollar,2012,31.92
Visitors from Canada,Total Food and beverage,Daily spending ($),dollar,2013,32.7
Visitors from Canada,Total Food and beverage,Daily spending ($),dollar,2014,33.35
Visitors from Canada,Total Food and beverage,Daily spending ($),dollar,2015,33.02
Visitors from Canada,Total Food and beverage,Daily spending ($),dollar,2016,33.77
Visitors from Canada,Total Food and beverage,Daily spending ($),dollar,2017,33.26
Visitors from Canada,Total Food and beverage,Daily spending ($),dollar,2018,34
Visitors from Canada,Total Food and beverage,Daily spending ($),dollar,2019,35.34
Visitors from Canada,Total Food and beverage,Daily spending ($),dollar,2021,41.1
Visitors from Canada,Total Food and beverage,Daily spending ($),dollar,2022,40.02
Visitors from Canada,Total Food and beverage,Daily spending ($),dollar,2023,45.79
Lanai visitors,Total Food and beverage,Daily spending ($),dollar,2010,59.5
Lanai visitors,Total Food and beverage,Daily spending ($),dollar,2011,70.05
Lanai visitors,Total Food and beverage,Daily spending ($),dollar,2012,67.53
Lanai visitors,Total Food and beverage,Daily spending ($),dollar,2013,69.85
Lanai visitors,Total Food and beverage,Daily spending ($),dollar,2014,74.12
Lanai visitors,Total Food and beverage,Daily spending ($),dollar,2015,58.39
Lanai visitors,Total Food and beverage,Daily spending ($),dollar,2016,90.74
Lanai visitors,Total Food and beverage,Daily spending ($),dollar,2017,69.27
Lanai visitors,Total Food and beverage,Daily spending ($),dollar,2018,90.76
Lanai visitors,Total Food and beverage,Daily spending ($),dollar,2019,98.78
Lanai visitors,Total Food and beverage,Daily spending ($),dollar,2021,180.79
Lanai visitors,Total Food and beverage,Daily spending ($),dollar,2022,128.62
Lanai visitors,Total Food and beverage,Daily spending ($),dollar,2023,111.48
Visitors from Canada,Total Entertainment & Recreation,Daily spending ($),dollar,2009,11.91
Visitors from Canada,Total Entertainment & Recreation,Daily spending ($),dollar,2010,12.62
Visitors from Canada,Total Entertainment & Recreation,Daily spending ($),dollar,2011,12.81
Visitors from Canada,Total Entertainment & Recreation,Daily spending ($),dollar,2012,12.89
Visitors from Canada,Total Entertainment & Recreation,Daily spending ($),dollar,2013,13.3
Visitors from Canada,Total Entertainment & Recreation,Daily spending ($),dollar,2014,12.71
Visitors from Canada,Total Entertainment & Recreation,Daily spending ($),dollar,2015,12.41
Visitors from Canada,Total Entertainment & Recreation,Daily spending ($),dollar,2016,11.83
Visitors from Canada,Total Entertainment & Recreation,Daily spending ($),dollar,2017,12.58
Visitors from Canada,Total Entertainment & Recreation,Daily spending ($),dollar,2018,12.21
Visitors from Canada,Total Entertainment & Recreation,Daily spending ($),dollar,2019,12.33
Visitors from Canada,Total Entertainment & Recreation,Daily spending ($),dollar,2021,11.1
Visitors from Canada,Total Entertainment & Recreation,Daily spending ($),dollar,2022,13.65
Visitors from Canada,Total Entertainment & Recreation,Daily spending ($),dollar,2023,15.78
Lanai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2010,20.35
Lanai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2011,24.43
Lanai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2012,23.65
Lanai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2013,20.13
Lanai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2014,26.04
Lanai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2015,20.01
Lanai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2016,23.09
Lanai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2017,25.36
Lanai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2018,20.6
Lanai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2019,32.58
Lanai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2021,10.64
Lanai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2022,34.91
Lanai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2023,75.82
Visitors from Canada,Total Transportation,Daily spending ($),dollar,2009,15.19
Visitors from Canada,Total Transportation,Daily spending ($),dollar,2010,15.31
Visitors from Canada,Total Transportation,Daily spending ($),dollar,2011,15.53
Visitors from Canada,Total Transportation,Daily spending ($),dollar,2012,16.86
Visitors from Canada,Total Transportation,Daily spending ($),dollar,2013,17.86
Visitors from Canada,Total Transportation,Daily spending ($),dollar,2014,16.11
Visitors from Canada,Total Transportation,Daily spending ($),dollar,2015,17.14
Visitors from Canada,Total Transportation,Daily spending ($),dollar,2016,16.8
Visitors from Canada,Total Transportation,Daily spending ($),dollar,2017,17.73
Visitors from Canada,Total Transportation,Daily spending ($),dollar,2018,18.49
Visitors from Canada,Total Transportation,Daily spending ($),dollar,2019,18.4
Visitors from Canada,Total Transportation,Daily spending ($),dollar,2021,21.7
Visitors from Canada,Total Transportation,Daily spending ($),dollar,2022,23.54
Visitors from Canada,Total Transportation,Daily spending ($),dollar,2023,22.52
Lanai visitors,Total Transportation,Daily spending ($),dollar,2010,15.98
Lanai visitors,Total Transportation,Daily spending ($),dollar,2011,16.82
Lanai visitors,Total Transportation,Daily spending ($),dollar,2012,15.84
Lanai visitors,Total Transportation,Daily spending ($),dollar,2013,16.12
Lanai visitors,Total Transportation,Daily spending ($),dollar,2014,17.61
Lanai visitors,Total Transportation,Daily spending ($),dollar,2015,14.87
Lanai visitors,Total Transportation,Daily spending ($),dollar,2016,23.6
Lanai visitors,Total Transportation,Daily spending ($),dollar,2017,26.02
Lanai visitors,Total Transportation,Daily spending ($),dollar,2018,28.71
Lanai visitors,Total Transportation,Daily spending ($),dollar,2019,19.57
Lanai visitors,Total Transportation,Daily spending ($),dollar,2021,80.52
Lanai visitors,Total Transportation,Daily spending ($),dollar,2022,47.43
Lanai visitors,Total Transportation,Daily spending ($),dollar,2023,40.63
Visitors from Canada,Total Shopping,Daily spending ($),dollar,2009,17.1
Visitors from Canada,Total Shopping,Daily spending ($),dollar,2010,17.23
Visitors from Canada,Total Shopping,Daily spending ($),dollar,2011,18.45
Visitors from Canada,Total Shopping,Daily spending ($),dollar,2012,17.81
Visitors from Canada,Total Shopping,Daily spending ($),dollar,2013,16.63
Visitors from Canada,Total Shopping,Daily spending ($),dollar,2014,16.47
Visitors from Canada,Total Shopping,Daily spending ($),dollar,2015,14.91
Visitors from Canada,Total Shopping,Daily spending ($),dollar,2016,13.53
Visitors from Canada,Total Shopping,Daily spending ($),dollar,2017,14.14
Visitors from Canada,Total Shopping,Daily spending ($),dollar,2018,14.2
Visitors from Canada,Total Shopping,Daily spending ($),dollar,2019,13.93
Visitors from Canada,Total Shopping,Daily spending ($),dollar,2021,16.6
Visitors from Canada,Total Shopping,Daily spending ($),dollar,2022,14.6
Visitors from Canada,Total Shopping,Daily spending ($),dollar,2023,16.1
Lanai visitors,Total Shopping,Daily spending ($),dollar,2010,11.81
Lanai visitors,Total Shopping,Daily spending ($),dollar,2011,12.27
Lanai visitors,Total Shopping,Daily spending ($),dollar,2012,13.92
Lanai visitors,Total Shopping,Daily spending ($),dollar,2013,10.98
Lanai visitors,Total Shopping,Daily spending ($),dollar,2014,16.13
Lanai visitors,Total Shopping,Daily spending ($),dollar,2015,11.22
Lanai visitors,Total Shopping,Daily spending ($),dollar,2016,12.17
Lanai visitors,Total Shopping,Daily spending ($),dollar,2017,14.1
Lanai visitors,Total Shopping,Daily spending ($),dollar,2018,12.02
Lanai visitors,Total Shopping,Daily spending ($),dollar,2019,13.91
Lanai visitors,Total Shopping,Daily spending ($),dollar,2021,9.44
Lanai visitors,Total Shopping,Daily spending ($),dollar,2022,21.31
Lanai visitors,Total Shopping,Daily spending ($),dollar,2023,40.68
Visitors from Canada,Lodging,Daily spending ($),dollar,2009,63
Visitors from Canada,Lodging,Daily spending ($),dollar,2010,62.98
Visitors from Canada,Lodging,Daily spending ($),dollar,2011,66.91
Visitors from Canada,Lodging,Daily spending ($),dollar,2012,72.12
Visitors from Canada,Lodging,Daily spending ($),dollar,2013,77.74
Visitors from Canada,Lodging,Daily spending ($),dollar,2014,74.25
Visitors from Canada,Lodging,Daily spending ($),dollar,2015,78.21
Visitors from Canada,Lodging,Daily spending ($),dollar,2016,79.34
Visitors from Canada,Lodging,Daily spending ($),dollar,2017,77.99
Visitors from Canada,Lodging,Daily spending ($),dollar,2018,80.53
Visitors from Canada,Lodging,Daily spending ($),dollar,2019,79.73
Visitors from Canada,Lodging,Daily spending ($),dollar,2021,82.7
Visitors from Canada,Lodging,Daily spending ($),dollar,2022,94.32
Visitors from Canada,Lodging,Daily spending ($),dollar,2023,113.61
Lanai visitors,Lodging,Daily spending ($),dollar,2010,163.09
Lanai visitors,Lodging,Daily spending ($),dollar,2011,171.24
Lanai visitors,Lodging,Daily spending ($),dollar,2012,168.71
Lanai visitors,Lodging,Daily spending ($),dollar,2013,180.94
Lanai visitors,Lodging,Daily spending ($),dollar,2014,175.85
Lanai visitors,Lodging,Daily spending ($),dollar,2015,151.57
Lanai visitors,Lodging,Daily spending ($),dollar,2016,255.56
Lanai visitors,Lodging,Daily spending ($),dollar,2017,238.85
Lanai visitors,Lodging,Daily spending ($),dollar,2018,263.28
Lanai visitors,Lodging,Daily spending ($),dollar,2019,297.4
Lanai visitors,Lodging,Daily spending ($),dollar,2021,176.56
Lanai visitors,Lodging,Daily spending ($),dollar,2022,295.55
Lanai visitors,Lodging,Daily spending ($),dollar,2023,316.17
Visitors from Canada,All other expenses,Daily spending ($),dollar,2009,5.75
Visitors from Canada,All other expenses,Daily spending ($),dollar,2010,5.96
Visitors from Canada,All other expenses,Daily spending ($),dollar,2011,4.89
Visitors from Canada,All other expenses,Daily spending ($),dollar,2012,5.81
Visitors from Canada,All other expenses,Daily spending ($),dollar,2013,5.83
Visitors from Canada,All other expenses,Daily spending ($),dollar,2014,6.05
Visitors from Canada,All other expenses,Daily spending ($),dollar,2015,5.82
Visitors from Canada,All other expenses,Daily spending ($),dollar,2016,5.87
Visitors from Canada,All other expenses,Daily spending ($),dollar,2017,5.16
Visitors from Canada,All other expenses,Daily spending ($),dollar,2018,4.96
Visitors from Canada,All other expenses,Daily spending ($),dollar,2019,5.27
Visitors from Canada,All other expenses,Daily spending ($),dollar,2021,3.2
Visitors from Canada,All other expenses,Daily spending ($),dollar,2022,3.64
Visitors from Canada,All other expenses,Daily spending ($),dollar,2023,6.48
Lanai visitors,All other expenses,Daily spending ($),dollar,2010,13.09
Lanai visitors,All other expenses,Daily spending ($),dollar,2011,9.46
Lanai visitors,All other expenses,Daily spending ($),dollar,2012,13.45
Lanai visitors,All other expenses,Daily spending ($),dollar,2013,9.01
Lanai visitors,All other expenses,Daily spending ($),dollar,2014,10.01
Lanai visitors,All other expenses,Daily spending ($),dollar,2015,7.26
Lanai visitors,All other expenses,Daily spending ($),dollar,2016,9.46
Lanai visitors,All other expenses,Daily spending ($),dollar,2017,11.17
Lanai visitors,All other expenses,Daily spending ($),dollar,2018,11.17
Lanai visitors,All other expenses,Daily spending ($),dollar,2019,16.54
Lanai visitors,All other expenses,Daily spending ($),dollar,2021,2.23
Lanai visitors,All other expenses,Daily spending ($),dollar,2022,11.64
Lanai visitors,All other expenses,Daily spending ($),dollar,2023,41.32
Visitors from Europe,Total Food and beverage,Daily spending ($),dollar,2009,31.09
Visitors from Europe,Total Food and beverage,Daily spending ($),dollar,2010,35.08
Visitors from Europe,Total Food and beverage,Daily spending ($),dollar,2011,35.41
Visitors from Europe,Total Food and beverage,Daily spending ($),dollar,2012,34.79
Visitors from Europe,Total Food and beverage,Daily spending ($),dollar,2013,33.45
Visitors from Europe,Total Food and beverage,Daily spending ($),dollar,2014,37.83
Visitors from Europe,Total Food and beverage,Daily spending ($),dollar,2015,35.42
Visitors from Europe,Total Food and beverage,Daily spending ($),dollar,2016,36.87
Visitors from Europe,Total Food and beverage,Daily spending ($),dollar,2017,41.21
Visitors from Europe,Total Food and beverage,Daily spending ($),dollar,2018,41.09
Visitors from Europe,Total Food and beverage,Daily spending ($),dollar,2019,35.62
Visitors from Europe,Total Food and beverage,Daily spending ($),dollar,2021,40.4
Visitors from Europe,Total Food and beverage,Daily spending ($),dollar,2022,39.94
Visitors from Europe,Total Food and beverage,Daily spending ($),dollar,2023,53.98
Kauai visitors,Total Food and beverage,Daily spending ($),dollar,2010,32.87
Kauai visitors,Total Food and beverage,Daily spending ($),dollar,2011,34.2
Kauai visitors,Total Food and beverage,Daily spending ($),dollar,2012,33.48
Kauai visitors,Total Food and beverage,Daily spending ($),dollar,2013,33.9
Kauai visitors,Total Food and beverage,Daily spending ($),dollar,2014,34.39
Kauai visitors,Total Food and beverage,Daily spending ($),dollar,2015,36.37
Kauai visitors,Total Food and beverage,Daily spending ($),dollar,2016,38.94
Kauai visitors,Total Food and beverage,Daily spending ($),dollar,2017,39.39
Kauai visitors,Total Food and beverage,Daily spending ($),dollar,2018,39.86
Kauai visitors,Total Food and beverage,Daily spending ($),dollar,2019,39.58
Kauai visitors,Total Food and beverage,Daily spending ($),dollar,2021,38.9
Kauai visitors,Total Food and beverage,Daily spending ($),dollar,2022,41.81
Kauai visitors,Total Food and beverage,Daily spending ($),dollar,2023,50.7
Visitors from Europe,Total Entertainment & Recreation,Daily spending ($),dollar,2009,12.31
Visitors from Europe,Total Entertainment & Recreation,Daily spending ($),dollar,2010,13.4
Visitors from Europe,Total Entertainment & Recreation,Daily spending ($),dollar,2011,14.72
Visitors from Europe,Total Entertainment & Recreation,Daily spending ($),dollar,2012,14.8
Visitors from Europe,Total Entertainment & Recreation,Daily spending ($),dollar,2013,13.04
Visitors from Europe,Total Entertainment & Recreation,Daily spending ($),dollar,2014,19.69
Visitors from Europe,Total Entertainment & Recreation,Daily spending ($),dollar,2015,16.23
Visitors from Europe,Total Entertainment & Recreation,Daily spending ($),dollar,2016,14.77
Visitors from Europe,Total Entertainment & Recreation,Daily spending ($),dollar,2017,18.03
Visitors from Europe,Total Entertainment & Recreation,Daily spending ($),dollar,2018,17.39
Visitors from Europe,Total Entertainment & Recreation,Daily spending ($),dollar,2019,15.46
Visitors from Europe,Total Entertainment & Recreation,Daily spending ($),dollar,2021,16.72
Visitors from Europe,Total Entertainment & Recreation,Daily spending ($),dollar,2022,22.62
Visitors from Europe,Total Entertainment & Recreation,Daily spending ($),dollar,2023,22.2
Kauai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2010,16.82
Kauai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2011,17.76
Kauai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2012,17.94
Kauai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2013,18.53
Kauai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2014,19
Kauai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2015,19.87
Kauai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2016,21.87
Kauai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2017,22.49
Kauai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2018,21.9
Kauai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2019,20
Kauai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2021,21.27
Kauai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2022,21.84
Kauai visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2023,24.7
Visitors from Europe,Total Transportation,Daily spending ($),dollar,2009,19.62
Visitors from Europe,Total Transportation,Daily spending ($),dollar,2010,22.14
Visitors from Europe,Total Transportation,Daily spending ($),dollar,2011,21.55
Visitors from Europe,Total Transportation,Daily spending ($),dollar,2012,23.55
